Date,Open,High,Low,Close,Adj Close,Volume,SMA(Open) 10D,SMA(High) 10D,SMA(Low) 10D,SMA(Close) 10D,SMA(Adj Close) 10D,SMA(Volume) 10D
2020-09-24,2207.899902,2226.000000,2176.050049,2181.199951,2174.205811,13764841,2294.8099853,2316.1850098,2256.6450441,2274.9150147,2267.6202880,16835661.3000000
2020-09-25,2189.000000,2212.800049,2167.300049,2201.699951,2194.639893,13095028,2282.5099853,2303.6800049,2244.6650392,2263.1100098,2255.8531250,15400587.3000000
2020-09-28,2227.000000,2238.000000,2207.050049,2216.250000,2209.143311,9076248,2272.7099853,2291.4800049,2237.1700441,2254.4800049,2247.2507813,14274684.8000000
2020-09-29,2225.000000,2264.000000,2216.250000,2245.050049,2237.851074,11926328,2264.0149902,2285.3050049,2229.9800539,2247.1000000,2239.8944336,14213035.2000000
2020-09-30,2260.000000,2267.000000,2225.000000,2234.350098,2227.185303,11290667,2258.0149902,2275.0699951,2221.4250490,2238.0800049,2230.9033448,13775204.0000000
2020-10-01,2263.800049,2263.800049,2214.000000,2225.250000,2218.114502,9591456,2252.3949951,2268.0800049,2213.6400392,2230.7300049,2223.5769044,13542356.9000000
2020-10-05,2244.000000,2249.149902,2206.000000,2212.199951,2205.106201,8732869,2245.3699951,2261.0500000,2206.5850343,2221.3800049,2214.2568849,12889237.0000000
2020-10-06,2225.250000,2233.899902,2201.649902,2210.350098,2203.262451,8497216,2237.8949951,2250.8399902,2202.0150147,2216.8300049,2209.7214845,12187055.5000000
2020-10-07,2235.000000,2309.000000,2220.000000,2257.500000,2250.260986,24538346,2233.6949951,2254.0399902,2203.8600098,2221.4650147,2214.3416261,13035228.1000000
2020-10-08,2259.000000,2268.000000,2222.100098,2239.250000,2232.069580,9727405,2233.5949951,2253.1649902,2205.5400147,2222.3100098,2215.1839112,12024040.4000000
2020-10-09,2235.000000,2253.000000,2217.100098,2233.449951,2226.288086,8558745,2236.3050049,2255.8649902,2209.6450196,2227.5350098,2220.3921387,11503430.8000000
2020-10-12,2235.000000,2255.750000,2226.250000,2237.050049,2229.876709,6565515,2240.9050049,2260.1599853,2215.5400147,2231.0700196,2223.9158203,10850479.5000000
2020-10-13,2230.600098,2285.750000,2225.850098,2280.699951,2273.386719,10666190,2241.2650147,2264.9349853,2217.4200196,2237.5150147,2230.3401611,11009473.7000000
2020-10-14,2278.899902,2304.000000,2268.500000,2287.500000,2280.164795,12341434,2246.6550049,2268.9349853,2222.6450196,2241.7600098,2234.5715332,11050984.3000000
2020-10-15,2290.000000,2290.000000,2195.000000,2206.500000,2199.424561,9246702,2249.6550049,2271.2349853,2219.6450196,2238.9750000,2231.7954590,10846587.8000000
2020-10-16,2215.000000,2232.500000,2172.649902,2175.800049,2168.822998,9960828,2244.7750000,2268.1049804,2215.5100098,2234.0300049,2226.8663086,10883525.0000000
2020-10-19,2190.050049,2228.699951,2155.149902,2176.199951,2169.221680,14398973,2239.3800049,2266.0599853,2210.4250000,2230.4300049,2223.2778565,11450135.4000000
2020-10-20,2179.000000,2193.000000,2152.250000,2155.899902,2148.986816,8529573,2234.7550049,2261.9699951,2205.4850098,2224.9849853,2217.8502930,11453371.1000000
2020-10-21,2168.000000,2192.000000,2097.750000,2124.600098,2117.787354,15728986,2228.0550049,2250.2699951,2193.2600098,2211.6949951,2204.6029298,10572435.1000000
2020-10-22,2127.399902,2132.500000,2091.000000,2106.949951,2100.193848,14215215,2214.8949951,2236.7199951,2180.1500000,2198.4649902,2191.4153566,11021216.1000000
2020-10-23,2106.000000,2135.000000,2096.399902,2113.050049,2106.274414,10809307,2201.9949951,2224.9199951,2168.0799804,2186.4250000,2179.4139894,11246272.3000000
2020-10-26,2101.949951,2101.949951,2018.500000,2029.099976,2022.593384,17225212,2188.6899902,2209.5399902,2147.3049804,2165.6299927,2158.6856569,12312242.0000000
2020-10-27,2034.900024,2059.850098,2005.000000,2034.500000,2027.976196,16835005,2169.1199828,2186.9500000,2125.2199706,2141.0099976,2134.1446046,12929123.5000000
2020-10-28,2041.800049,2057.699951,2007.400024,2011.449951,2005.000000,13809929,2145.4099975,2162.3199951,2099.1099730,2113.4049927,2106.6281251,13075973.0000000
2020-10-29,1997.000000,2042.000000,1991.000000,2026.900024,2020.400513,14147418,2116.1099975,2137.5199951,2078.7099730,2095.4449951,2088.7257203,13566044.6000000
2020-10-30,2033.500000,2065.100098,2021.800049,2054.500000,2047.911987,15700946,2097.9599975,2120.7800049,2063.6249877,2083.3149902,2076.6346192,14140056.4000000
2020-11-02,2027.000000,2027.000000,1859.150024,1877.449951,1871.429688,45857806,2081.6549926,2100.6100098,2034.0249999,2053.4399902,2046.8554200,17285939.7000000
2020-11-03,1890.000000,1909.000000,1835.099976,1850.400024,1844.466553,40931170,2052.7549926,2072.2100098,2002.3099975,2022.8900024,2016.4033937,20526099.4000000
2020-11-04,1837.000000,1929.000000,1837.000000,1913.199951,1907.065063,37003111,2019.6549926,2045.9100098,1976.2349975,2001.7499877,1995.3311646,22653511.9000000
2020-11-05,1954.949951,1960.949951,1932.000000,1955.000000,1948.731079,17170274,2002.4099975,2028.7550049,1960.3349975,1986.5549926,1980.1848877,22949017.8000000
2020-11-06,1990.000000,2040.000000,1978.150024,2029.150024,2022.643311,30770080,1990.8099975,2019.2550049,1948.5100097,1978.1649901,1971.8217774,24945095.1000000
2020-11-09,2062.100098,2069.000000,2036.000000,2050.699951,2044.124146,16539467,1986.8250122,2015.9600098,1950.2600097,1980.3249876,1973.9748536,24876520.6000000
2020-11-10,2077.000000,2090.000000,2041.199951,2084.550049,2077.865723,17045147,1991.0350098,2018.9750000,1953.8800048,1985.3299925,1978.9638063,24897534.8000000
2020-11-11,2089.000000,2095.000000,1978.099976,1997.199951,1990.795654,26178477,1995.7550049,2022.7050049,1950.9500000,1983.9049925,1977.5433717,26134389.6000000
2020-11-12,1981.000000,2008.449951,1965.000000,1980.000000,1973.650879,18481466,1994.1550049,2019.3500000,1948.3500000,1979.2149901,1972.8684083,26567794.4000000
2020-11-13,1982.000000,2036.650024,1981.750000,1996.400024,1989.998291,20946864,1989.0050049,2016.5049926,1944.3449951,1973.4049925,1967.0770387,27092386.2000000
2020-11-14,2027.000000,2027.000000,1859.150024,1877.449951,1871.429688,45857806,1989.0050049,2016.5049926,1944.3449951,1973.4049925,1967.0770387,27092386.2000000
2020-11-17,2085.000000,2085.000000,1985.000000,1993.250000,1986.858398,21479385,2008.5050049,2034.1049926,1959.3349975,1987.6899901,1981.3162232,25147207.7000000
2020-11-18,1993.250000,2006.500000,1960.099976,1987.199951,1980.827759,14030652,2024.1300049,2041.8549926,1971.6449951,1995.0899901,1988.6924928,22849961.8000000
2020-11-19,1987.199951,2010.449951,1968.199951,1973.150024,1966.822876,12828008,2027.3550049,2046.8049926,1975.2649902,1996.9049925,1990.5016725,22415735.2000000
2020-11-20,1975.000000,1983.800049,1895.000000,1899.500000,1893.409058,26522972,2025.8550049,2041.1849975,1966.9499878,1983.9399901,1977.5782472,21991024.4000000
2020-11-23,1951.000000,1970.000000,1926.250000,1950.699951,1944.444824,20918665,2014.7449951,2031.2849975,1955.9749878,1973.9399901,1967.6103150,22428944.2000000
2020-11-24,1964.000000,1974.000000,1932.000000,1964.050049,1957.752075,14277083,2003.4449951,2019.6849975,1945.0549927,1961.8899901,1955.5989502,22152137.8000000
2020-11-25,1980.000000,1992.949951,1942.199951,1947.800049,1941.554199,15062376,1992.5449951,2009.4799926,1941.4649902,1956.9499999,1950.6748047,21040527.7000000
2020-11-26,1953.050049,1965.000000,1930.050049,1952.599976,1946.338745,11924527,1989.7500000,2005.1349975,1937.9699951,1954.2099975,1947.9435913,20384833.8000000
2020-11-27,1940.500000,1956.099976,1921.400024,1929.800049,1923.611938,21845931,1985.6000000,1997.0799927,1931.9349975,1947.5500000,1941.3049560,20474740.5000000
2020-12-01,1940.349976,1966.250000,1930.050049,1954.900024,1948.631470,9114939,1976.9349976,1991.0049927,1939.0250000,1955.2950073,1949.0251342,16800453.8000000
2020-12-02,1958.500000,1962.000000,1935.000000,1958.150024,1951.870972,10240168,1964.2849976,1978.7049927,1934.0250000,1951.7850097,1945.5263916,15676532.1000000
2020-12-03,1972.000000,1981.099976,1958.650024,1964.050049,1957.752075,12822945,1962.1599976,1976.1649903,1933.8800048,1949.4700195,1943.2188232,15555761.4000000
2020-12-04,1969.000000,1969.000000,1940.000000,1946.750000,1940.507568,8521388,1960.3400025,1972.0199952,1931.0600097,1946.8300171,1940.5872924,15125099.4000000
2020-12-07,1940.599976,1965.000000,1940.599976,1958.199951,1951.920776,8418767,1956.9000001,1970.1399903,1935.6200073,1952.7000122,1946.4384642,13314678.9000000
